"","Mock1","Mock2","Mock3","Control1","Control2","Control3","GW-Treated1","GW-Treated2","GW-Treated3"
"ONECUT2",168.257292862219,188.947585439401,142.131372764857,168.10676772244,130.68416123851,149.291614062368,131.271967945347,125.091014086518,102.101063413573
"OPA1",93.3582295833782,89.5992235621728,87.7305070119678,83.4012751256693,93.5085559416594,89.2829555003795,84.8901602961731,81.2199065117185,77.4657998563232
"OPA3",46.9447143068623,43.9706034209627,44.1303003549627,39.7443113561832,45.2527563084221,43.582930853415,40.7272354203394,41.5368076412424,39.5161019487678
"OPHN1",18.9239654560902,18.9013906108211,19.0833731264703,22.9267702814597,18.2771429941339,23.5800446660855,25.409786597927,19.9788611960356,19.2240495966978
"OPLAH",13.9439745465928,13.6620577748391,12.3909401897568,15.650609653212,12.8405990440374,11.5345110131316,22.8330195063063,23.4803110963717,21.1464545563676
"OPN3",128.948564616586,124.35125401856,98.332380971118,129.392101738178,107.281133948571,123.156456197171,134.850811128154,106.210646976863,133.927545523662
"OPRK1",1.06239806069278,2.18858207072665,2.65046848978755,1.09828839671663,1.13908539906783,1.24105498242555,0.85892236387359,4.32532046512111,0.996802571680629
"OPTN",93.2254298257916,95.7007250926834,92.4350885813407,145.797784664133,82.4283616052723,141.991290636335,244.721296840317,227.319620000254,234.177404161256
"OR2A1-AS1",2.65599515173195,2.38754407715634,2.38542164080879,2.608434942202,2.48527723432982,3.79616818153699,5.08195731958541,5.62978219269731,6.05201561377525
"OR2A7",0.730398666726287,0.795848025718781,0.596355410202198,0.549144198358317,0.569542699533917,0.87603881112392,1.35996040946652,2.19698817275993,1.28160330644652
"OR52K3P",0.59759890913969,3.64763678454441,0.662617122446887,8.99223624811743,1.65685148955321,6.35128138064842,10.5933758211076,12.9759613953633,14.738438024135
"OR7E14P",8.96398363709534,8.88696962052639,6.75869464895825,10.0218816200393,6.05786325867893,7.6653395973343,11.8101825032619,11.3282202657934,11.4632295743272
"OR7E38P",3.25359406087164,3.11707143406523,3.71065588570257,3.02029309097074,3.57258602434911,3.50415524449568,4.58091927399248,3.70741754153238,3.98721028672252
"ORAI2",59.6270911563824,63.336238713453,65.5990951222418,52.1686988440401,64.5136548744782,67.9660110963641,47.1691531493913,47.0979339535409,52.7593361153819
"ORAI3",12.4167773343469,13.3304544307896,14.4450532693421,12.6989595870361,11.7015136449696,13.1405821668588,15.2458719587562,15.0356378073258,15.8776409631986
"ORC1",15.2055722436654,14.8558298134172,18.6858028530022,14.4836782317006,23.4030272899391,15.5496888974496,6.37034086539579,6.93424392027352,10.0392259004978
"ORC2",36.2543338211412,34.3541064435274,31.2092664672484,32.8113658519094,35.7776368525397,32.9244586514073,33.3548184637577,29.4533726910628,24.9912644757072
"ORC3",30.5439442449175,29.6453389580246,29.0888916754183,26.1529924468148,28.9949010671812,29.712316343953,25.1950560069586,26.5011698339166,29.4056758645786
"ORC4",30.0791450933644,33.0276930673294,24.9806655162476,31.0952902320397,34.2761151901321,31.1723810291595,31.0643588267615,31.307081461829,32.182483028546
"ORC5",17.8615673953974,16.8454498777142,14.6438384060762,17.298042248287,20.8141968375122,17.88579239378,16.6774092318789,15.5848848505157,13.385634533997
"ORC6",20.7831620623025,20.1614833182091,19.5472051121832,20.3869783640525,35.4669771982485,27.0111966763209,17.1784472774718,16.4087554153007,24.7776639246328
"ORM1",1.92559648500567,2.25490273953655,2.12037479183004,2.33386284302285,2.58883045242689,0.730032342603267,3.65042004646276,2.81489109634866,4.98401285840314
"ORMDL1",43.3591208520241,44.8327721154913,37.2390822815151,44.5493230918184,49.2913318142081,40.5167950144813,43.8766174212092,45.0382575415785,39.5161019487678
"ORMDL2",53.1199030346391,54.5819104305464,53.3406783569744,55.8754221829587,45.2009796993736,50.737247810927,62.128717653523,56.0918542857769,62.7985620158796
"ORMDL3",84.8590450978359,84.2935700573809,81.7669529099459,101.17981854752,79.1146586261659,87.8958940494333,116.169249713903,107.309141063243,122.7491166841
"OS9",274.629898689084,307.727903277929,294.135740654173,280.681328385895,228.490175731198,270.841999105812,426.741261117862,424.018717342666,420.081083779694
"OSBP",129.01496449538,124.21861268094,129.541647438366,121.292224812393,109.921741010046,119.871310655456,150.382990541534,130.789452159614,146.814778771818
"OSBP2",7.03838715208968,11.4071550353025,11.5295379305758,10.5710258183976,7.09339543964969,11.388504544611,7.58714754755004,7.82677036545724,9.54082461465745
"OSBPL10",50.5303077617004,49.607860269804,50.6239481549422,51.4136255712974,43.1299153374321,44.1669567274976,51.6784955597277,40.0950341528687,53.3289375849137
"OSBPL11",31.8055419419901,29.3137356139751,30.0828173590887,29.4478576369647,31.480178301511,36.209604193122,36.718931055596,33.5040696345889,34.7456896414391
"OSBPL1A",35.2583356392417,34.2877857747175,32.0706687264293,31.7817204799876,33.9136789267923,37.0126397699856,30.5633207811686,34.8085313621651,29.3344756808871
"OSBPL2",81.4062514005844,80.7122539416464,85.5438705078931,79.0767645635976,71.6070503141279,75.7773571622191,116.95659521412,97.0794148838293,97.9002525757761
"OSBPL3",49.0031105494545,52.2606870222,50.02759274474,48.0501173563527,47.3238206703636,46.5760634580884,35.2158169188172,34.4652519601714,29.4056758645786
"OSBPL5",10.2919812129613,11.1418723600629,12.0596316285333,10.9142409423715,11.9603966902123,11.0234883733093,8.5892236387359,10.2983820598122,9.46962443096598
"OSBPL6",1.26159769707268,2.25490273953655,1.25897253264909,1.304217471101,2.17461758003859,1.75207762224784,1.86099845505944,2.26564405315867,0.925602387989156
"OSBPL7",16.4007700619448,16.978091215334,17.6256154570872,15.7878957028016,16.5167382864836,12.8485692298175,16.3195249135982,21.214667043213,18.5120477597831
"OSBPL8",52.0575049739463,46.4244681669289,45.7205814488352,45.6476114885351,55.5563015090812,56.9425227230548,37.8641608740941,39.0651959468874,40.4417043367569
"OSBPL9",161.21890571013,145.175944024868,152.468199875029,141.267345027677,140.57349356678,137.976112752017,152.458719587562,159.075674883898,140.406762239586
"OSCP1",4.51519175794432,5.70357751765127,5.69850725304323,6.10922920673627,5.59187377724209,7.08131372325169,4.79564986496088,7.4834909634635,6.62161708330704
"OSER1",29.547946063018,26.4619468551495,25.7758060631839,28.5554983146325,27.9593688862105,31.3913907319405,46.5249613764861,38.9965400664887,38.7328999281616
"OSER1-DT",2.05839624259226,1.12745136976827,1.45775766938315,1.71607561986974,2.17461758003859,1.97108732502882,5.79772595614673,3.63876166113363,2.20720569443568
"OSGEP",40.1719266699458,37.5374985464025,45.4555345998564,40.3620985793363,40.0233187945198,35.2605621477378,36.5757773282837,40.3696576744637,41.2961065410546
"OSGEPL1",5.37839018225721,5.30565350479188,4.83710499386228,3.08893611576553,4.71167142341695,3.57715847875601,2.50519022796464,3.98204106312737,4.27201102148841
"OSGIN1",14.9399727284922,15.3863951638964,14.6438384060762,15.650609653212,11.649737035921,17.3747697539578,32.2095886452596,29.5220285714615,29.0496749461212
"OSGIN2",24.5679551535206,23.2122340834645,21.7338416162579,20.6615504632317,23.3512506808906,26.6461805050192,27.0560544620181,26.7071374751129,25.560865945239
"OSMR",53.3855025498123,59.3569985848591,49.6300224712718,62.6710816376429,43.4923516007718,50.6642445766667,60.9834878350249,51.0799750166683,74.2617915902069
"OSR1",21.7127603654087,17.4423358970033,20.2760839468747,13.8658910085475,14.4456739245421,27.6682257846638,9.37656913895336,16.4774112956995,6.19441598115819
"OST4",129.612563404519,131.513886250029,112.247340542503,134.883543721761,110.905496581968,119.433291249894,114.021943804219,128.111872824063,121.111512459196
"OSTC",146.212533102844,131.182282905979,115.03033245678,120.81172363883,119.034424202589,119.944313889717,155.035486679183,142.941542990193,147.38438024135
"OSTF1",41.101524973052,37.4048572087827,36.7089885835575,36.2435170916489,31.0659654291227,37.6696688783286,41.9440421024936,43.9397634551985,34.6744894577476
"OSTM1",17.9279672741907,16.314884527235,13.1198190244484,17.9158294714401,17.5522704674543,18.8348344391643,23.0477500972747,20.5967641196243,16.5184426164219
"OTOG",0.929598303106184,0.994810032148477,1.39149595713846,0.686430247947896,1.65685148955321,0.949042045384247,0.715768636561325,0.755214684386225,0.284800734765894
"OTOP2",1.46079733345257,1.79065805786726,1.92158965509597,2.608434942202,2.07106436194152,1.67907438798751,7.08610950195712,10.6416614618059,10.3952268189551
"OTOP3",7.76878581881596,16.7791292089043,12.4572019020015,13.3167468101892,8.95735336539706,13.7246080409414,16.5342555045666,25.1280522259417,12.6024325133908
"OTUB1",91.8974322499256,99.1493998707982,100.253970626214,101.728962745878,90.9197254892325,98.1163468458791,95.6982667082491,100.649520664564,108.010678659965
"OTUB2",5.11279066708401,4.90772949193248,5.63224554079854,5.01094081001964,4.71167142341695,3.13913907319405,4.58091927399248,3.98204106312737,4.5568117562543
"OTUD1",38.3127300637334,34.2877857747175,28.2274894162374,54.2966326126785,35.3116473711028,47.0140828636504,45.0934241033635,38.7905724252925,39.1601010303104
"OTUD3",37.9807306697669,36.8079711894936,36.4439417345788,35.7630159180854,37.3827117330444,39.2757400320558,33.2116647364455,32.6801990698039,30.1888778851848
"OTUD4",54.3815007317117,53.1891763855385,52.3467526733041,76.4683296213956,60.4750793686923,73.514256900149,72.8652472019429,64.0559364120316,75.4009945292704
"OTUD5",72.7078672786622,69.8356642568231,77.7912501752645,77.7039040677018,71.6070503141279,71.2511566380788,86.6795818875764,79.0915742193574,86.3658228177574
"OTUD6B",9.89358194020153,11.5397963729223,10.9994442326183,9.12952229770701,12.4263861716491,11.388504544611,9.37656913895336,8.71929681064096,11.2496290232528
"OTUD6B-AS1",22.3103592745484,20.4267659934487,18.0894474428,19.7691911408994,19.3644517841532,22.7040058549616,22.2604045970572,22.1071934883968,18.8680486782405
"OTULIN",40.9023253366721,35.6141991509155,35.8475863243766,38.9892380834405,35.4152005891999,35.9905944903411,39.6535824654974,33.1607902325951,35.3152911109709
"OTULINL",49.9327088525607,40.3229666364183,46.7807688447502,54.2966326126785,38.5735737411607,53.0003480729972,67.7117130187013,45.2442251827747,55.4649430956579
"OVGP1",4.64799151553092,6.56574621217995,6.36112437549012,7.96259087619559,7.76649135728068,5.98626520934679,8.94710795701656,6.59096451827978,6.12321579746672
"OVOL1",39.5743277608061,42.9757933888142,34.3235669427487,79.0081215388028,49.9644277318391,82.7126644169501,81.6692014316472,64.8111510964178,76.8249982030999
"OVOL2",4.84719115191082,4.4434848102632,4.7045815693729,3.36350821494469,5.02233107770818,5.84025874082613,3.36411259183823,3.91338518272862,3.4888090008822
"OXA1L",105.575807281345,103.261281337012,104.560981922119,106.05347330795,104.019207578513,94.0281657273008,127.836278489853,149.601163388871,134.781947727959
"OXCT1",17.2639684862577,16.1159225208053,17.4930920325978,14.346392182111,19.83044126559,16.2797212400528,11.0944138667005,12.1520908305783,12.6736326970823
"OXER1",0.863198424312885,1.19377203857817,1.52401938162784,1.09828839671663,1.0873087900193,1.31405821668588,1.50311413677878,1.37311760797495,1.70880440859536
"OXGR1",0.531199030346391,1.26009270738807,0.596355410202198,0.0686430247947896,4.34923516007718,0.584025874082613,0.429461181936795,1.37311760797495,0
"OXLD1",13.7447749102129,15.651677839136,16.5654280611722,16.6116120003391,14.2903440973965,15.0386662576273,16.3195249135982,18.9490229900544,15.6640404121242
"OXNAD1",15.8031711528051,16.314884527235,15.1739321040337,13.7972479837527,12.1157265173579,14.6736500863257,17.1068704138157,16.6833789368957,14.4536372893691
"OXR1",29.8799454569845,29.7779802956444,24.8481420917583,29.7910727609387,35.7776368525397,41.1738241228242,25.7676709162077,31.307081461829,31.6840817427057
"OXSM",6.30798848536339,4.77508815431269,5.3009369795751,4.87365476043006,5.07410768675671,4.96421992970221,6.37034086539579,7.07155568107101,6.40801653223262
